action|action_type|disaster_type_title|disaster_type_detail|doc_page|doc_path|doc_title|doc_publisher|date_added|context_geography|context_usertype|notes
Have a drainage contractor visit your home to inspect your lateral with a Closed Circuit TV (CCTV).|risk avoidance|flooding|wastewater backup flooding|8|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Never pour kitchen grease, fats or oils into your house drains because they may solidify in your plumbing system. Also, do not put objects down the toilet or drains that your plumbing system was never intended to handle.|risk avoidance|flooding|wastewater backup flooding|8|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Consider a sanitary wastewater backflow preventer valve to reduce the risk of sewage backup into your basement.|risk avoidance|flooding|wastewater backup flooding|8|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Disconnect roof downspouts, if connected to wastewater lateral, to reduce flows to the sanitary lateral and the wastewater sewer.|risk avoidance|flooding|wastewater backup flooding|8|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Improve lot grading, making sure that the ground slopes away from your exterior walls.|risk avoidance|flooding|foundation flooding and stormwater sewer backup|9|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Maintain all original property swales to divert water away from your home.|risk avoidance|flooding|foundation flooding and stormwater sewer backup|9|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Where possible, disconnect your roof downspouts and divert the stormwater at least 2 meters (6ft) away from your home to a vegetated, safe discharge point away from adjacent property lines, sidewalks, or building foundations.|risk avoidance|flooding|foundation flooding and stormwater sewer backup|9|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Check for and reduce leaks in walls, floors and windows or foundation.|risk avoidance|flooding|foundation flooding and stormwater sewer backup|9|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Ensure that gardens next to your basement walls do not create dams that retain water next to the house.|risk avoidance|flooding|foundation flooding and stormwater sewer backup|9|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Clean leaves and other debris from eaves troughs and downspouts to ensure proper drainage.|risk avoidance|flooding|foundation flooding and stormwater sewer backup|9|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
In winter, shovel ice and snow at least 2 meters (6ft) away from basement walls.|risk avoidance|flooding|foundation flooding and stormwater sewer backup|9|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
If your home is located within a regulatory flood plain, contact your local conservation authority (Credit Valley Conservation, Toronto and Region Conservation Authority or Conservation Halton) to learn more about protecting your home from flooding.|risk avoidance|flooding|overland flooding|10|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Visit peelregion.ca or call 905-791-7800 for more information about the wastewater system and to learn more about what you can do to prevent basement flooding in your home.|risk avoidance|flooding|Stormwater and wastewater systems for homes built during the 1970’s and 1980’s|11|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|Country=Canada,Province=Ontario,City=Mississauga|citizen|
